,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
18,0.8697916666666666,0.8940820990684011,0.9303621169916434,0.8789473684210526,0.9881656804733728,0,2,23,0.8697916666666666,0.8940820990684011,0.9303621169916434,0.8789473684210526,0.9881656804733728,0.6424136757850647,92.0,1,0,167
19,0.8616071428571429,,,0.0,,0,0,31,0.8616071428571429,,,0.0,,0.6645928025245667,96.0,1,193,0
20,0.9910714285714286,,,0.0,,0,0,2,0.9910714285714286,,,0.0,,0.597019612789154,107.0,1,222,0
21,0.5277777777777778,0.8604878270111944,,,0.0,0,136,0,0.5277777777777778,0.8604878270111944,,,0.0,0.6753761172294617,109.0,1,152,0
22,0.9,,,0.0,,0,0,16,0.9,,,0.0,,0.620196521282196,115.0,1,144,0
23,1.0,,,,,0,0,0,1.0,,,,,0.5881357192993164,120.0,1,288,0
24,1.0,,,,,0,0,0,1.0,,,,,0.5945829153060913,43.0,2,160,0
25,1.0,,,,,0,0,0,1.0,,,,,0.6366145610809326,48.0,2,32,0
26,1.0,,,,,0,0,0,1.0,,,,,0.5630527138710022,52.0,2,192,0
27,0.9444444444444444,0.1941377532677383,,,0.0,0,16,0,0.9444444444444444,0.1941377532677383,,,0.0,0.5721108317375183,64.0,2,272,0
28,0.7840909090909091,0.853614068881233,0.5529411764705882,0.9591836734693877,0.3884297520661157,0,74,2,0.7840909090909091,0.853614068881233,0.5529411764705882,0.9591836734693877,0.3884297520661157,0.6179715394973755,80.0,2,229,47
29,0.09821428571428571,,,0.0,,0,0,202,0.09821428571428571,,,0.0,,0.7175135612487793,92.0,2,22,0
30,0.9826388888888888,,,0.0,,0,0,5,0.9826388888888888,,,0.0,,0.6099793910980225,96.0,2,283,0
31,0.7421875,0.9637215076800627,0.7924528301886793,1.0,0.65625,0,66,0,0.7421875,0.9637215076800627,0.7924528301886793,1.0,0.65625,0.6699329614639282,107.0,2,64,126
32,1.0,,,,,0,0,0,1.0,,,,,0.5557484030723572,109.0,2,192,0
33,0.8298611111111112,0.553687160698515,0.22222222222222224,0.875,0.12727272727272726,0,48,1,0.8298611111111112,0.553687160698515,0.22222222222222224,0.875,0.12727272727272726,0.6133734583854675,115.0,2,232,7
34,1.0,,,,,0,0,0,1.0,,,,,0.5794258117675781,120.0,2,192,0
35,1.0,,,,,0,0,0,1.0,,,,,0.6094531416893005,43.0,3,96,0
36,0.95,,,0.0,,0,0,8,0.95,,,0.0,,0.659444272518158,48.0,3,152,0
37,1.0,,,,,0,0,0,1.0,,,,,0.5369446873664856,52.0,3,160,0
38,0.984375,,,0.0,,0,0,2,0.984375,,,0.0,,0.5917961597442627,64.0,3,126,0
39,0.53125,0.9523355260131087,0.36619718309859156,1.0,0.22413793103448276,0,90,0,0.53125,0.9523355260131087,0.36619718309859156,1.0,0.22413793103448276,0.6674134135246277,80.0,3,76,26
40,0.24107142857142858,,,0.0,,0,0,170,0.24107142857142858,,,0.0,,0.7086829543113708,92.0,3,54,0
41,0.9642857142857143,,,0.0,,0,0,8,0.9642857142857143,,,0.0,,0.6115511655807495,96.0,3,216,0
42,0.890625,0.5268945910656039,0.41666666666666663,0.30303030303030304,0.6666666666666666,0,5,23,0.890625,0.5268945910656039,0.41666666666666663,0.30303030303030304,0.6666666666666666,0.6447519659996033,107.0,3,218,10
43,1.0,,,,,0,0,0,1.0,,,,,0.5698775053024292,109.0,3,224,0
44,0.94375,0.2888981669508651,,,0.0,0,9,0,0.94375,0.2888981669508651,,,0.0,0.5754023790359497,115.0,3,151,0
45,0.75,0.7522178706007933,0.6,0.6857142857142857,0.5333333333333333,0,21,11,0.75,0.7522178706007933,0.6,0.6857142857142857,0.5333333333333333,0.666041374206543,120.0,3,72,24
46,0.775,0.908977075828937,0.4999999999999999,0.9473684210526315,0.33962264150943394,0,35,1,0.775,0.908977075828937,0.4999999999999999,0.9473684210526315,0.33962264150943394,0.6509668231010437,43.0,4,106,18
47,0.9375,,,0.0,,0,0,4,0.9375,,,0.0,,0.6420493721961975,48.0,4,60,0
48,1.0,,,,,0,0,0,1.0,,,,,0.5429846048355103,52.0,4,128,0
49,0.80859375,0.5174267536353572,0.3950617283950617,0.8421052631578947,0.25806451612903225,0,46,3,0.80859375,0.5174267536353572,0.3950617283950617,0.8421052631578947,0.25806451612903225,0.6247904300689697,64.0,4,191,16
50,0.6732954545454546,0.8683449526523286,0.44444444444444453,0.9387755102040817,0.2911392405063291,0,112,3,0.6732954545454546,0.8683449526523286,0.44444444444444453,0.9387755102040817,0.2911392405063291,0.6498347520828247,80.0,4,191,46
51,0.6590909090909091,0.6810879483582534,0.7209302325581396,0.5893536121673004,0.9281437125748503,0,12,108,0.6590909090909091,0.6810879483582534,0.7209302325581396,0.5893536121673004,0.9281437125748503,0.6809306740760803,92.0,4,77,155
52,0.875,0.44318666972384774,0.125,0.5,0.07142857142857142,0,26,2,0.875,0.44318666972384774,0.125,0.5,0.07142857142857142,0.6181997060775757,96.0,4,194,2
53,0.5859375,0.5820454244261694,0.3764705882352941,0.7868852459016393,0.24742268041237114,0,146,13,0.5859375,0.5820454244261694,0.3764705882352941,0.7868852459016393,0.24742268041237114,0.6995307803153992,107.0,4,177,48
54,1.0,,,,,0,0,0,1.0,,,,,0.5518231391906738,109.0,4,160,0
55,0.9419642857142857,0.9506280193236714,0.23529411764705882,1.0,0.13333333333333333,0,13,0,0.9419642857142857,0.9506280193236714,0.23529411764705882,1.0,0.13333333333333333,0.5629258155822754,115.0,4,209,2
56,0.9375,,,0.0,,0,0,4,0.9375,,,0.0,,0.6395163536071777,120.0,4,60,0
57,0.9791666666666666,,,0.0,,0,0,2,0.9791666666666666,,,0.0,,0.6215083003044128,43.0,5,94,0
58,0.8080357142857143,0.5199785801916487,0.21818181818181817,0.6666666666666666,0.13043478260869565,0,40,3,0.8080357142857143,0.5199785801916487,0.21818181818181817,0.6666666666666666,0.13043478260869565,0.6595371961593628,48.0,5,175,6
59,0.9955357142857143,,,0.0,,0,0,1,0.9955357142857143,,,0.0,,0.5610678791999817,52.0,5,223,0
60,0.9625,,,0.0,,0,0,6,0.9625,,,0.0,,0.5817587971687317,64.0,5,154,0
